episode	mean	max
937	5534.14	24144
938	5543.31	24144
939	5551.04	24144
940	5558.51	24144
941	5562.41	24144
942	5571.21	24144
943	5586.41	24144
944	5595.08	24144
945	5611.02	24144
946	5618.86	24144
947	5629.71	24144
948	5634.64	24144
949	5643.11	24144
950	5650.61	24144
951	5663.73	24144
952	5667.55	24144
953	5674	24144
954	5681.9	24144
955	5688.13	24144
956	5696.42	24144
957	5700.86	24144
958	5708.22	24144
959	5716.02	24144
960	5724.03	24144
961	5741.32	24144
962	5747.58	24144
963	5756.36	24144
964	5764.96	24144
965	5769.56	24144
966	5778.61	24144
967	5790.66	24144
968	5807.41	24144
969	5814.8	24144
970	5826.4	24144
971	5833.52	24144
972	5840.24	24144
973	5846.74	24144
974	5850.39	24144
975	5857.84	24144
976	5861.64	24144
977	5869.29	24144
978	5876.5	24144
979	5881.75	24144
980	5891.33	24144
981	5895.1	24144
982	5903.24	24144
983	5910.58	24144
984	5918.64	24144
985	5923.35	24144
986	5938.1	24144
987	5944.83	24144
988	5956.63	24144
989	5964.3	24144
990	5969.11	24144
991	5974.64	24144
992	5980.15	24144
993	5988.46	24144
994	5996.1	24144
995	6008.52	24144
996	6017.42	24144
997	6025.74	24144
998	6029.96	24144
999	6033.43	24144
1000	6042.06	24144
1001	15.224	15224
1002	30.508	15284
1003	45.972	15464
1004	51.716	15464
1005	63.896	15464
1006	72.82	15464
1007	80.712	15464
1008	89.86	15464
1009	97.108	15464
1010	109.372	15464
1011	125.984	16612
1012	131.88	16612
1013	134.352	16612
1014	142.372	16612
1015	155.416	16612
1016	169.608	16612
1017	180.8	16612
1018	184.28	16612
1019	192.556	16612
1020	205.184	16612
1021	212.316	16612
1022	220.368	16612
1023	226.136	16612
1024	232.288	16612
1025	239.22	16612
1026	242.008	16612
1027	249.836	16612
1028	258.216	16612
1029	266.352	16612
1030	273.444	16612
1031	283.088	16612
1032	298.488	16612
1033	313.152	16612
1034	318.368	16612
1035	325.332	16612
1036	341.684	16612
1037	349.772	16612
1038	358.084	16612
1039	361.156	16612
1040	373.34	16612
1041	377.544	16612
1042	380.752	16612
1043	390.276	16612
1044	403.512	16612
1045	411.36	16612
1046	418.176	16612
1047	432.688	16612
1048	435.744	16612
1049	443.944	16612
1050	451.72	16612
1051	456.876	16612
1052	465.104	16612
1053	478.308	16612
1054	486.256	16612
1055	497.076	16612
1056	503.576	16612
1057	517.42	16612
1058	531.924	16612
1059	538.972	16612
1060	545.564	16612
1061	555.004	16612
1062	568.532	16612
1063	573.908	16612
1064	582.828	16612
1065	591.008	16612
1066	606.652	16612
1067	620.152	16612
1068	623.012	16612
1069	630.32	16612
1070	640.892	16612
1071	647.66	16612
1072	652.956	16612
1073	658.424	16612
1074	661.06	16612
1075	669.608	16612
1076	677.084	16612
1077	684.612	16612
1078	688.984	16612
1079	697.016	16612
1080	705.236	16612
1081	715.104	16612
1082	727.408	16612
1083	735.804	16612
1084	739.596	16612
1085	750.972	16612
1086	766.852	16612
1087	774.896	16612
1088	790.964	16612
1089	795.36	16612
1090	811.024	16612
1091	819.38	16612
1092	828.52	16612
1093	836.292	16612
1094	842.472	16612
1095	851.388	16612
1096	858.476	16612
1097	870.564	16612
1098	882.884	16612
1099	891.648	16612
1100	896.864	16612
1101	906.76	16612
1102	914.98	16612
1103	927.248	16612
1104	931.784	16612
1105	952.4	20616
1106	959.296	20616
1107	967.492	20616
1108	975.408	20616
1109	984.124	20616
1110	996.536	20616
1111	1005.88	20616
1112	1014.52	20616
1113	1023.94	20616
1114	1033.42	20616
1115	1036.19	20616
1116	1043.42	20616
1117	1052.54	20616
1118	1069.38	20616
1119	1073.09	20616
1120	1084.96	20616
1121	1094.02	20616
1122	1103.22	20616
1123	1112.72	20616
1124	1129.9	20616
1125	1141.22	20616
1126	1148.3	20616
1127	1156.49	20616
1128	1163.8	20616
1129	1172.6	20616
1130	1176.6	20616
1131	1184.45	20616
1132	1198.32	20616
1133	1207.23	20616
1134	1222.73	20616
1135	1231.7	20616
1136	1236.31	20616
1137	1241.42	20616
1138	1250.77	20616
1139	1252.12	20616
1140	1256.32	20616
1141	1269.22	20616
1142	1277.12	20616
1143	1286.74	20616
1144	1296.7	20616
1145	1306.54	20616
1146	1314.98	20616
1147	1323.27	20616
1148	1327.23	20616
1149	1333.53	20616
1150	1339.63	20616
1151	1346.87	20616
1152	1352.71	20616
1153	1360.65	20616
1154	1367.55	20616
1155	1382.16	20616
1156	1386.43	20616
1157	1399.34	20616
1158	1409.12	20616
1159	1418.2	20616
1160	1424.62	20616
1161	1440.04	20616
1162	1449.27	20616
1163	1455.53	20616
1164	1467.42	20616
1165	1479.71	20616
1166	1485.3	20616
1167	1499.45	20616
1168	1507.14	20616
1169	1516.58	20616
1170	1526.13	20616
1171	1541.09	20616
1172	1545.27	20616
1173	1553.34	20616
1174	1573.02	20616
1175	1581.76	20616
1176	1590.4	20616
1177	1599.2	20616
1178	1609.28	20616
1179	1623.58	20616
1180	1635.98	20616
1181	1646.84	20616
1182	1658.26	20616
1183	1667.66	20616
1184	1677.52	20616
1185	1688.16	20616
1186	1694.6	20616
1187	1706.91	20616
1188	1730.44	23528
1189	1747.31	23528
1190	1759.68	23528
1191	1771.55	23528
1192	1779.01	23528
1193	1782.2	23528
1194	1796.26	23528
1195	1799.26	23528
1196	1808.47	23528
1197	1816.78	23528
1198	1825.2	23528
1199	1834.35	23528
1200	1840.1	23528
1201	1843.21	23528
1202	1848.89	23528
1203	1863.11	23528
1204	1873.04	23528
1205	1877.62	23528
1206	1888.37	23528
1207	1898.8	23528
1208	1917.07	23528
1209	1925.74	23528
1210	1934.32	23528
1211	1938.07	23528
1212	1940.97	23528
1213	1953.93	23528
1214	1961.98	23528
1215	1962.66	23528
1216	1978.82	23528
1217	1992.98	23528
1218	2006.17	23528
1219	2015.24	23528
1220	2023.36	23528
1221	2032.5	23528
1222	2046.59	23528
